id,cases
922,185749
923,185930
924,186120
925,186393
926,186697
927,187037
928,187109
929,187442
930,187685
931,187966
932,188202
933,188506
934,188704
935,188820
936,189045
937,189343
938,189477
939,189710
940,190010
941,190254
942,190435
943,190643
944,191040
945,191247
946,191585
947,191967
948,191967
949,191967
950,192463
951,192906
952,193004
953,193250
954,193520
955,193520
956,193912
957,194163
958,194355
959,194614
960,195012
961,195298
962,195471
963,195631
964,195925
965,196182
966,196404
967,196751
968,196870
969,196992
970,197066
971,197240
972,197434
973,197608
974,197788
975,198023
976,198163
977,198244
978,198416
979,198543
980,198750
981,198876
982,199067
983,199188
984,199310
985,199386
986,199545
987,199690
988,199845
989,199994
990,200130
991,200202
992,200372
993,200469
994,200626
995,200729
996,200846
997,201014
998,201096
999,201212
1000,201276
1001,201503
1002,201557
1003,201750
1004,201949
1005,202026
1006,202108
1007,202199
1008,202347
1009,202509
1010,202608
1011,202756
1012,202834
1013,202966
1014,203063
1015,203167
1016,203265
1017,203395
1018,203497
1019,203574
1020,203681
1021,203829
1022,203942
1023,204094
1024,204287
1025,204392
1026,204417
1027,204510
1028,204610
1029,204724
1030,204820
1031,204982
1032,205009
1033,205039
1034,205146
1035,205229
1036,205324
1037,205391
1038,205506
1039,205541
1040,205612
1041,205612
1042,205802
1043,205830
1044,205907
1045,206073
1046,206133
1047,206145
1048,206206
