id,Afghanistan,Brazil,Finland,Germany,India,Japan,Italy,Kenya,Malaysia,Nepal,Ukraine
191,36628,2617187,7459,207828,1634746,34670,247158,19913,8964,19547,70300
192,36628,2670451,7467,208698,1695988,36256,247537,20636,8976,19771,71404
193,36796,2711992,7485,209653,1750723,37790,247832,21363,8985,20086,72609
194,36796,2736058,7500,209893,1803695,39121,248070,22053,8999,20332,73761
195,36796,2756164,7510,210402,1855745,40086,248229,22597,9001,20750,74781
196,36833,2812447,7545,211281,1908254,41332,248419,23202,9002,21009,75880
197,36915,2868616,7567,212022,1964536,42687,248803,23873,9023,21390,77169
198,36982,2922605,7596,213067,2027074,44172,249204,24411,9038,21750,78515
199,37023,2972008,7618,214214,2088611,45777,249756,25138,9063,22214,80018
200,37101,3018397,7635,215336,2153010,47348,250103,25837,9070,22592,81534
201,37140,3041127,7644,215891,2215074,48789,250566,26436,9083,22972,82767
202,37140,3067633,7679,216327,2268675,49627,250825,26928,9094,23310,83812
203,37355,3118153,7694,217293,2329638,50324,251237,27425,9103,23948,85023
204,37431,3173107,7722,218519,2396637,51303,251713,28104,9114,24432,86504
205,37510,3233820,7749,219964,2461190,52475,252235,28754,9129,24957,88136
206,37517,3283227,7770,221413,2525922,53831,252809,29334,9149,25551,89917
207,37637,3320108,7797,222828,2589952,55062,253438,29849,9175,26019,91795
208,37682,3343114,7811,223453,2647663,56079,253915,30120,9200,26660,93490
209,37682,3367511,7854,224014,2702681,56726,254235,30365,9212,27241,95007
210,37685,3416775,7881,225404,2767253,57642,254636,30636,9219,28257,96653
211,37685,3465378,7920,226914,2836925,58712,255278,31015,9235,28938,98658
212,37845,3508352,7967,228621,2905825,59890,256118,31441,9240,29645,100810
213,37942,3540678,7994,230048,2975701,60927,257065,31763,9249,30483,102948
214,37980,3586586,8019,232082,3044940,61911,258136,32118,9257,31117,105337
215,38039,3608459,8035,232864,3106348,62655,259345,32364,9267,31935,107379
216,38085,3631972,8046,233575,3167323,63148,260298,32557,9274,32678,109234
217,38156,3678279,8063,234853,3224547,63863,261174,32803,9285,33533,110949
218,38199,3726431,8078,236429,3310234,64766,262540,33016,9291,34418,112653
219,38215,3768691,8098,237936,3387500,65629,263949,33389,9296,35529,114663
220,38226,3812779,8130,239507,3463972,66505,265409,33630,9306,36456,117172
221,38229,3850070,8165,240986,3542733,67349,266853,33794,9317,37340,119751
222,38229,3864604,8184,241771,3621245,67949,268218,34057,9334,38561,121930
223,38248,3914829,8202,242381,3691166,68385,269214,34201,9340,39460,124132
224,38282,3959158,8250,243599,3769523,69018,270189,34315,9354,40529,126279
225,38329,4005611,8279,244855,3853406,69610,271515,34493,9360,41649,128833
226,38374,4052420,8305,246166,3936747,70267,272912,34705,9374,42877,131300
227,38374,4091959,8341,247619,4023179,70854,274644,34884,9385,44236,134069
228,38390,4125816,8383,248997,4113811,71452,276338,35020,9391,45277,136966
229,38484,4140488,8405,249985,4204613,71903,277634,35103,9397,46257,139171
230,38580,4150004,8438,250799,4280422,72194,278784,35205,9459,47236,141424
231,38606,4168790,8483,252298,4370128,72703,280153,35356,9559,48138,143914
232,38630,4205877,8540,253474,4465863,73211,281583,35460,9583,49219,146511
233,38658,4246638,8595,255366,4562414,73923,283180,35603,9628,50465,149146
234,38692,4288171,8649,256850,4659984,74565,284796,35793,9810,51919,152373
235,38727,4318971,8707,258480,4754356,75211,286297,35969,9868,53120,155558
236,38802,4332991,8747,259428,4846427,75650,287753,36157,9915,54159,158122
237,38858,4353602,8792,260355,4930236,75916,288761,36205,9946,55329,160679
238,38901,4388154,8851,261762,5020359,76447,289990,36301,9969,56788,163678
239,38941,4425451,8904,263663,5118253,76998,291442,36301,10031,58327,166694
240,38958,4461856,8962,265857,5214677,77487,293025,36576,10052,59573,170373
241,38969,4501587,9047,267773,5308014,78059,294932,36724,10147,61593,173703
242,39005,4531145,9124,270070,5400619,78655,296569,36829,10167,62797,177048
243,39130,4546587,9188,271415,5487580,79135,298156,36981,10219,64122,180119
244,39160,4564222,9262,272337,5562663,79445,299506,37079,10276,65276,182900
245,39182,4599189,9382,274158,5646010,79776,300897,37218,10358,66632,185890
246,39231,4631915,9492,275927,5732518,79995,302537,37348,10505,67804,189488
247,39256,4663930,9610,278070,5818570,80477,304323,37489,10576,69301,192966
248,39272,4696240,9708,280223,5903932,81050,306235,37707,10687,70614,196631
249,39278,4720958,9836,282730,5992532,81689,308104,37871,10769,71821,200566
250,39313,4734745,9910,284140,6074702,82174,309870,38115,10919,73394,203799
251,39325,4751616,9981,285332,6145291,82476,311364,38168,11034,74745,206579
252,39340,4784464,10105,287421,6225763,83003,313011,38378,11135,76258,210309
253,39354,4817365,10239,289219,6312584,83579,314861,38529,11224,77817,214446
254,39371,4853148,10407,291722,6394068,84212,317409,38713,11484,79728,218625
255,39376,4885966,10598,294395,6473544,84754,319908,38923,11771,82450,223376
256,39383,4908974,10785,296958,6549373,85328,322751,39184,12088,84570,228161
257,39427,4917689,10963,299237,6623815,85728,325329,39427,12381,86823,232424
258,39508,4943742,11111,300619,6685082,86007,327586,39449,12813,89263,236329
259,39572,4975268,11402,303258,6757131,86507,330263,39586,13504,90814,240811
260,39634,5006206,11703,306086,6835655,87013,333940,39907,13993,94253,245698
261,39702,5033036,12009,310144,6906151,87640,338398,40178,14368,98617,251243
262,39779,5060769,12268,314660,6979423,88243,343770,40620,14722,100676,257204
263,39789,5084513,12494,319381,7053806,88921,349494,41158,15096,105684,263105
264,39885,5096704,12605,322864,7120538,89357,354950,41546,15657,107755,268065
265,39956,5105340,12737,325331,7175880,89635,359569,41619,16220,111802,272671
266,40014,5118699,12993,329453,7239389,90133,365467,41937,16880,115358,277982
267,40080,5146543,13192,334585,7307097,90685,372799,42541,17540,117996,283762
268,40112,5176969,13394,341223,7370468,91393,381602,43143,18129,121745,289022
269,40159,5205565,13585,348557,7432680,92032,391611,43580,18758,126137,295227
270,40227,5226341,13780,356387,7494551,92655,402536,44196,19627,129304,301856
271,40286,5238392,13884,361974,7550273,93085,414241,44881,20498,132246,307301
272,40373,5254971,14013,366299,7597063,93401,423578,45076,21363,136036,312287
273,40461,5278737,14256,373167,7651107,93882,434449,45647,22225,139129,317967
274,40461,5304593,14423,380762,7706946,94497,449648,46144,22957,144872,324942
275,40510,5329357,14611,392049,7761312,95113,465726,47212,23804,148509,332262
276,40626,5359358,14834,403291,7814682,95858,484869,47843,24514,153008,340042
277,40687,5384342,15028,418005,7864811,96584,504509,48790,25742,155233,347317
278,40768,5396596,15135,429181,7909959,97077,525782,49721,26565,158089,353723
279,40833,5415207,15259,437866,7946429,97487,542789,49997,27805,159830,359348
280,40937,5445189,15514,449275,7990322,98133,564778,50833,28640,160400,366233
281,41032,5473540,15748,464239,8040203,98864,589766,51851,29441,162354,374023
282,41145,5500240,15988,481013,8088851,99672,616595,52612,30090,164718,381664
283,41268,5524593,16224,499694,8137119,100446,647674,53797,30889,168235,390272
284,41334,5537763,16444,518753,8184082,101323,679430,55192,31548,170743,399330
285,41425,5547951,16565,532930,8229313,101936,709335,55877,32505,173567,407573
286,41501,5556200,16716,545027,8267623,102423,731588,56601,33339,176500,414567
287,41633,5570782,17003,560379,8313876,103288,759829,57093,34393,179614,423683
288,41728,5594098,17244,577593,8364086,103912,790377,58587,35425,182923,433492
289,41814,5617943,17458,597583,8411724,104960,824879,59595,36434,185974,443630
290,41935,5638143,17676,619089,8462080,106103,862681,60704,38189,188883,453565
291,41975,5655887,17872,642488,8507754,107436,902490,61769,39357,191636,464598
292,42033,5666389,18000,658505,8553657,108386,935104,62488,40209,194453,474245
293,42159,5679803,18132,671868,8591730,109166,960373,63244,41181,197024,483153
294,42297,5726227,18405,687200,8636011,110449,995463,64588,42050,199760,493544
295,42463,5752474,18611,705687,8683916,111993,1028424,65804,42872,202329,504423
296,42609,5786393,18906,727553,8728795,113652,1066401,66723,43791,204242,515755
297,42795,5825111,19190,751095,8773479,115356,1107303,68193,45095,206353,527808
298,42969,5851389,19458,773556,8814579,117091,1144552,69273,46209,208299,540593
299,43035,5865295,19603,790503,8845127,118530,1178529,70245,47417,209776,551533
300,43240,5881039,19783,801327,8874290,119480,1205881,70804,48520,210973,561581
301,43403,5916529,20176,815746,8912907,121180,1238072,71729,49730,211475,573758
302,43628,5951281,20564,833307,8958483,123374,1272352,72686,50390,212917,586522
303,43851,5987143,20941,855916,9004365,125759,1308528,74145,51680,215020,600152
304,44228,6025913,21419,879564,9050597,128180,1345767,75193,52638,216965,614986
305,44443,6056135,21847,902528,9095806,130772,1380531,76404,53679,218639,629850
306,44503,6074061,22117,918269,9139865,132931,1408868,77372,54775,220308,642215
307,44706,6092219,22384,929133,9177840,134449,1431795,77785,56659,222288,653442
308,44988,6126752,22888,942687,9222216,135678,1455022,78512,58847,224078,665968
309,45278,6171380,23359,961320,9266705,137620,1480874,79322,59817,226026,680132
310,45490,6212265,23978,983588,9309787,140120,1509875,80102,60752,227640,695755
311,45716,6245773,24488,1006394,9351109,142651,1538217,81656,61861,229343,712249
312,45839,6297258,24944,1028089,9392919,145326,1564532,82605,63176,230723,728834
313,45966,6318270,25228,1042700,9431691,147388,1585178,83316,64485,231978,742105
314,46215,6341965,25521,1053869,9462809,148824,1601554,83618,65697,233452,752343
315,46498,6393950,26117,1067473,9499413,150857,1620901,84169,67169,233452,765117
316,46717,6442425,26557,1084743,9534964,153289,1641610,85130,68020,236246,778560
317,46980,6492564,27052,1106789,9571559,155806,1664829,86383,69095,237589,793372
318,47258,6540235,27530,1130238,9608211,158258,1688939,87249,70236,238861,808828
319,47388,6580517,28003,1153556,9644222,160766,1709991,87984,71359,239885,822985
320,47641,6606947,28253,1171323,9677203,162804,1728878,88380,72694,240981,834913
321,47901,6633971,28536,1183655,9703770,164335,1742557,88579,74294,241995,843898
322,48136,6681767,29123,1197709,9735850,166511,1757394,89100,75306,243377,855054
323,48366,6736358,29601,1218524,9767371,169321,1770149,89661,76265,244433,867991
324,48540,6789908,30063,1242203,9796744,172290,1787147,90305,78499,245650,881727
325,48753,6842458,30470,1272078,9826775,175085,1805873,90978,80309,246694,895620
326,48826,6884782,30917,1300516,9857029,178122,1825775,91526,82246,247593,908839
327,48952,6906811,31166,1320716,9884100,180505,1843712,91892,83475,248423,918444
328,49273,6934191,31442,1337078,9906165,182186,1855737,92055,84846,249244,925321
329,49484,6982223,31905,1351510,9932547,184612,1870576,92459,86618,250180,934161
330,49703,7048347,32265,1379238,9956557,187608,1888144,92853,87913,250916,945218
331,49927,7117046,32617,1406161,9979447,190817,1906377,93405,89133,251692,957692
332,50202,7169899,32942,1439938,10004599,193654,1921778,93761,90816,252474,970758
333,50456,7218141,33336,1471238,10031223,196643,1938083,94151,91969,253184,982937
334,50536,7242625,33527,1494009,10055560,199134,1953185,94500,93309,253772,991700
335,50678,7270270,33771,1510652,10075116,200945,1964054,94614,95327,254514,998678
336,50888,7326935,34146,1530180,10099066,203639,1977370,94768,97389,255236,1007627
337,51070,7372614,34478,1554920,10123778,206915,1991278,95195,98737,255979,1018199
338,51357,7430825,34755,1587115,10146845,210661,2009317,95431,100318,256592,1030125
339,51595,7452008,34893,1612648,10169118,214493,2028354,95713,101565,257200,1041583
340,51764,7469541,35050,1627103,10187850,218378,2038759,95843,103900,257700,1049717
341,51848,7487155,35233,1640858,10207871,221322,2047696,95923,105096,258181,1056265
342,52007,7514592,35424,1651834,10224303,223719,2056277,95992,106690,258840,1061074
343,52147,7570963,35859,1664726,10244852,227346,2067487,96139,108615,259548,1068476
344,52330,7626563,36167,1687185,10266674,231217,2083689,96251,110485,260059,1076880
345,52330,7681032,36422,1719737,10286709,235749,2107166,96458,113010,260593,1086997
346,52513,7703971,36676,1742661,10305788,239005,2129376,96614,115078,261019,1096855
347,52586,7719324,36804,1755351,10323965,242076,2141201,96678,117373,261438,1102256
348,52709,7736514,37009,1765666,10340469,245242,2155446,96802,119077,261859,1107137
349,52909,7761553,37178,1775513,10356844,248585,2166244,96908,120818,262262,1111631
350,53011,7819636,37575,1787410,10374932,253534,2181619,97127,122845,262784,1117256
351,53105,7882143,37837,1808647,10395278,259583,2201945,97398,125438,263193,1124482
352,53207,7970112,38045,1835038,10413417,267225,2220361,97733,128465,263605,1133802
353,53332,8029698,38377,1866887,10413417,275182,2237890,97954,131108,264159,1139800
354,53400,8081091,38629,1891581,10450284,283036,2257866,98184,133559,264521,1144943
355,53489,8110118,38822,1908527,10466595,289144,2276491,98271,135992,264780,1150265
356,53538,8140865,39010,1921024,10479179,294050,2289021,98334,138224,265268,1154850
357,53584,8205289,39396,1933826,10495147,298647,2303263,98432,141533,265698,1160243
358,53690,8265116,39625,1953426,10512093,304564,2319036,98555,144518,266143,1166958
359,53775,8333445,39883,1978590,10527683,311220,2336279,98693,147855,266546,1175343
360,53831,8402542,40131,2000958,10542841,318393,2352423,98859,151066,266816,1183963
361,53938,8460987,40397,2019636,10557985,325435,2368733,99082,155095,267056,1192114
362,53984,8492403,40568,2033518,10571773,331195,2381277,99162,158434,267322,1198512
363,54062,8521336,40766,2040659,10581823,336132,2390102,99227,161740,267644,1201894
364,54141,8583485,41213,2052028,10595639,341467,2400598,99308,165371,267992,1206125
365,54278,8647962,41555,2068002,10610883,347029,2414166,99444,169379,268310,1210854
366,54403,8706912,41961,2088400,10625428,352693,2428221,99630,172549,268646,1216780
367,54483,8763517,42338,2106262,10639684,357750,2441854,99769,176180,268948,1222459
368,54559,8821815,42699,2122679,10654533,362476,2455185,99898,180455,269180,1227723
369,54595,8850334,42867,2134936,10667736,366466,2466813,99983,183801,269450,1231965
370,54672,8880864,43114,2141665,10676838,369229,2475372,100052,186849,269789,1234772
371,54750,8942472,43719,2148077,10689527,373082,2485956,100193,190434,270092,1237810
372,54854,9007244,44116,2161275,10701193,377056,2501147,100323,194114,270375,1241863
373,54891,9068004,44498,2178828,10720048,381187,2515507,100422,198208,270588,1247674
374,54939,9127507,44933,2192850,10733130,384725,2529070,100563,203933,270745,1253127
375,55008,9180621,45312,2205171,10746174,388067,2541783,100675,209661,270854,1258093
376,55023,9208521,45546,2216363,10757610,390740,2553032,100773,214959,270959,1261546
377,55059,9237011,45820,2221971,10766245,392533,2560957,100856,219173,271118,1263833
378,55121,9293289,46353,2228085,10777284,394857,2570608,101009,222628,271289,1266464
379,55174,9347703,46749,2237790,10790183,397491,2583790,101159,226912,271431,1270001
380,55231,9404810,47190,2252001,10802591,400069,2597446,101339,231483,271602,1275334
381,55265,9456500,47562,2264909,10814304,402439,2611659,101534,234874,271707,1280501
382,55330,9502810,47928,2275394,10826363,404716,2625098,101690,238721,271806,1285059
383,55335,9528972,48165,2284010,10838194,406346,2636738,101819,242452,271925,1288669
384,55359,9557558,48429,2288545,10847304,407563,2644707,101944,245552,272055,1291025
385,55384,9608775,48890,2291924,10858371,409131,2655319,102048,248316,272215,1293892
